invoice id,invoice amount,due on
152,1202.7,10/6/2020
153,4165.4,11/21/2020
154,2777.9,11/9/2019
155,3867.9,12/5/2019
156,666.2,4/28/2020
157,1749.6,1/11/2021
158,3524.3,12/28/2019
159,3388.9,10/15/2019
160,2387.9,11/14/2020
161,2453.7,11/18/2020
162,1380.1,10/10/2020
163,2903.5,8/21/2020
164,587,8/24/2019
165,2847.1,2/13/2020
166,3309.7,12/9/2019
167,3736.2,6/5/2020
168,1925.5,9/28/2019
169,70,6/10/2020
170,3959.2,3/13/2021
171,1237.8,11/3/2019
172,1880.1,3/10/2021
173,1029.6,10/21/2019
174,1013.3,10/24/2020
175,1089.9,4/22/2020
176,2514.2,1/3/2020
177,801.1,1/20/2021
178,2388,10/14/2019
179,2669.3,8/28/2020
180,4954.8,11/6/2020
181,1049,9/11/2019
182,1805.2,6/16/2020
183,3099.3,8/12/2020
184,507,1/6/2021
185,3438.6,11/27/2020
186,1534.2,11/3/2019
187,640,12/30/2020
188,24.4,7/5/2019
189,724.5,11/18/2020
190,4599,1/18/2020
191,3530.2,12/7/2019
192,4000.8,2/23/2021
193,2846.8,11/13/2020
194,826.4,1/27/2021
195,794.6,2/2/2021
196,4206.2,10/23/2019
197,1068.8,10/9/2019
198,4924.4,7/8/2019
199,3221.1,4/21/2020
200,3163.1,8/1/2019
201,3168.3,3/10/2021
202,2202.6,7/8/2020
203,4299.6,4/2/2020
204,4195.4,6/30/2020
205,2143.6,4/5/2020
206,3471.3,3/14/2020
207,173.4,9/3/2019
208,150.7,3/4/2021
209,3983.5,3/23/2021
210,2923.1,8/3/2020
211,80.5,7/25/2020
212,2547.2,8/17/2020
213,203.1,6/16/2020
214,436.3,7/14/2019
215,3435,5/13/2020
216,1828,10/29/2019
217,1006.9,1/14/2020
218,4216.4,7/29/2020
219,1215.3,3/15/2020
220,2938.6,8/23/2019
221,1995.6,10/12/2020
222,2213.6,1/22/2020
223,3597.7,6/21/2020
224,1349.4,11/15/2020
,,
226,62.7,11/19/2020
227,1762.2,9/3/2020
228,1895.8,11/4/2020
229,2409.5,1/29/2020
230,3722.1,11/10/2019
231,2160.1,1/3/2020
232,2292.3,2/27/2021
233,2962.3,12/8/2020
234,356.9,6/22/2020
235,810.2,4/13/2020
236,4304.3,8/21/2020
237,1286.1,6/28/2020
238,1745.1,8/11/2019
239,2367.9,1/22/2020
240,4202.1,11/5/2019
241,4279.8,11/24/2020
242,2588.1,1/22/2020
243,4010.2,4/4/2020
244,2614.2,8/14/2020
245,3918.7,11/30/2020
246,3978.8,7/7/2020
247,4331.3,12/15/2019
248,3612.5,9/21/2019
249,95,7/9/2019
250,304,5/19/2020
251,658.9,10/13/2019
,,
253,2831.6,5/19/2020
254,3385.3,11/13/2019
255,2677.6,10/16/2019
256,2157,10/16/2019
257,3708.6,6/20/2020
258,3309.9,1/27/2020
259,2541.3,8/14/2019
260,1242.9,3/20/2020
261,1124.7,1/20/2021
262,4856.5,7/27/2019
263,4339.9,3/19/2020
264,1725.3,10/31/2019
265,4592.5,9/13/2019
266,2171.1,7/8/2019
267,2103.9,10/13/2019
268,1559.8,8/26/2019
269,2158.5,7/10/2020
270,1312.6,3/20/2021
271,1571.3,9/6/2020
,,
273,1232.8,4/4/2020
274,1490.4,4/20/2020
275,2754,3/3/2021
276,115.9,9/10/2020
277,1853.5,1/10/2021
278,3556.1,6/27/2020
279,2442.1,11/30/2020
280,2693,6/10/2020
281,2310,1/23/2021
282,3163.3,7/12/2019
283,1546.4,8/20/2020
284,3630.2,3/10/2020
285,3218.2,10/30/2020
286,3480.1,9/30/2020
287,529.2,8/17/2019
288,3730.6,9/5/2019
289,3122.2,4/11/2020
290,4676.4,2/4/2021
291,4862.9,9/11/2020
292,4122.7,9/11/2019
293,3443.3,2/13/2020
294,2631.8,9/20/2019
295,3273,10/20/2020
296,3750.8,1/12/2020
297,168.1,11/18/2019
298,3969.4,12/3/2019
299,4793.4,8/1/2020
300,3110,4/5/2020
301,1187.2,11/15/2020
302,3417,12/9/2020
303,2777.1,2/9/2020
304,3806.9,12/16/2019
305,757.5,10/22/2020
306,1174.4,8/12/2019
307,3200.9,11/22/2019
308,4260.4,6/18/2020
309,1817,7/15/2020
310,4534.8,8/5/2020
311,699.9,3/20/2021
312,1961.9,2/21/2021
313,4988,9/12/2020
314,768.6,11/8/2020
315,4172.1,2/18/2020
316,1399.1,5/15/2020
317,4287.6,1/19/2021
318,2429,5/7/2020
319,1501.4,8/18/2020
320,3795,11/16/2020
321,891.7,3/7/2020
322,2391.1,11/8/2019
323,3229.8,1/1/2020
,,
325,1408.2,7/25/2019
326,525.9,10/2/2020
327,2105.7,4/9/2020
328,2799.2,4/1/2020
329,1699,1/12/2020
330,1666.8,1/14/2021
331,4674.4,7/18/2019
332,4642.4,9/15/2020
333,4560.8,11/28/2020
334,4356.4,12/26/2019
335,1787.4,2/2/2021
336,1208.9,3/13/2021
337,3012.9,5/17/2020
338,4277.1,10/29/2020
339,3559.4,10/14/2019
340,4036.6,1/21/2020
341,4670.2,3/11/2020
342,1581.6,10/28/2019
343,3100.2,7/4/2020
344,4167.2,2/25/2021
345,2496.6,9/25/2020
346,4678.1,8/5/2020
347,482.1,4/2/2020
348,4670.5,9/7/2019
349,1269,8/18/2019
350,1168,10/20/2020
351,1925.7,7/6/2020
352,1964.9,8/4/2020
353,2926.5,3/28/2020
354,2746.6,7/27/2020
355,4057,7/31/2019
356,2843.5,2/23/2021
357,1005.1,10/28/2019
358,1030.4,9/26/2020
359,2302.6,7/4/2019
360,2674.3,9/13/2019
361,4617.4,10/12/2020
362,4968.7,12/16/2020
363,877.8,8/4/2020
364,4193.6,5/23/2020
365,941.7,11/11/2020
366,2329.8,5/16/2020
367,734.7,11/22/2019
368,3555.9,9/16/2019
369,174.3,7/19/2019
370,76.1,8/14/2019
371,473.6,10/16/2020
372,1922.2,10/21/2019
373,657.8,10/8/2020
374,2979,7/8/2019
375,1893.5,8/11/2020
376,524.4,10/7/2020
377,4766.1,7/14/2020
378,2132.2,10/28/2019
379,1465.4,11/22/2020
380,3273.7,10/29/2019
381,1162.6,1/14/2020
382,3708.9,7/25/2019
383,4849.3,10/3/2019
384,3698.9,7/8/2020
385,4858.4,5/28/2020
386,3584.1,1/24/2021
387,1663,10/11/2019
388,3022.5,2/19/2021
389,3005.2,10/31/2020
390,1837.8,9/1/2019
391,504.8,10/29/2020
392,239.2,10/31/2020
,,
394,2901.3,2/10/2020
395,2310.3,12/19/2020
396,143.8,3/7/2020
397,3646.2,6/6/2020
398,156.8,10/22/2019
399,2482.4,7/14/2020
400,724.5,11/17/2019
401,1500.9,10/30/2019
,,
403,4168,9/2/2020
404,2666.2,7/28/2019
405,3411.7,2/6/2021
406,453.3,9/2/2019
407,2616.1,6/21/2020
408,3220,8/7/2019
409,4646,6/7/2020
410,4980.9,4/7/2020
411,3160.8,5/3/2020
412,3270.3,12/14/2019
413,4978.6,10/7/2020
414,2019.1,7/16/2019
415,3482.4,1/17/2020
416,3364.4,2/27/2021
417,2943.2,1/18/2021
,,
419,744.7,8/14/2020
420,640.3,5/4/2020
421,2344.9,8/11/2020
422,3274.8,2/23/2021
423,3832.8,5/13/2020
424,3709.9,12/24/2020
425,1248.9,7/28/2020
426,30.3,11/13/2019
427,447.4,12/11/2020
428,3217.3,9/12/2019
429,1041.5,1/25/2021
430,4668.6,4/16/2020
431,4505,9/7/2020
432,872.5,10/9/2020
433,1160.7,10/12/2020
434,4274.2,12/25/2020
435,2914,10/4/2020
436,846.6,7/19/2019
437,4038.1,9/15/2020
438,881.9,10/4/2019
439,1704.4,4/14/2020
440,1573.9,12/23/2020
441,3777.1,3/22/2020
442,4469.9,3/9/2021
,,
444,4315.1,8/24/2020
445,3219.3,10/1/2020
446,118.5,8/6/2020
447,2849.1,1/21/2021
448,1369.3,4/11/2020
449,3344,9/21/2019
450,4754.2,8/19/2020
451,412.8,1/25/2020
452,576.5,8/9/2019
453,2752.4,12/4/2020
454,3259.2,2/17/2021
455,4384.4,8/16/2020
,,
457,1119.7,9/27/2019
458,1302.9,7/15/2019
459,4544.7,12/1/2019
460,4412.7,7/30/2019
461,133.6,11/10/2020
462,2739.8,12/14/2020
463,4638.1,6/2/2020
464,4345.6,12/5/2019
465,137.8,9/6/2019
466,1741.1,7/26/2020
467,3702,3/28/2020
468,680,8/15/2020
469,113.2,11/27/2020
470,335.3,1/31/2021
471,4183.1,5/30/2020
472,2520.9,8/18/2020
473,3811.2,1/16/2021
474,2473.1,8/28/2020
475,3674.3,7/22/2019
476,3794.1,2/21/2020
477,3999.3,9/21/2020
478,4357.2,12/30/2020
479,1016.2,12/4/2020
480,2319.8,2/21/2021
481,1449.2,3/11/2020
482,1262.3,11/15/2020
483,2021.3,2/28/2020
484,4454.9,10/3/2020
485,1609.7,11/18/2019
486,2993.7,1/20/2020
487,1455,4/14/2020
488,4032.5,7/31/2019
489,299.3,11/27/2020
490,2592.8,2/12/2020
491,494.2,12/22/2020
492,142.1,4/26/2020
493,3888.3,12/8/2020
494,3269.7,12/19/2020
495,755,9/26/2020
496,4359.8,6/1/2020
497,4074.1,3/31/2020
498,2293.4,6/30/2020
499,3274.8,8/11/2019
500,2635.8,12/9/2019
501,3682.2,10/7/2019
502,1152,3/16/2021
503,4879.4,8/19/2020
504,4579.7,1/16/2020
505,3750.3,12/3/2019
506,201.2,8/12/2020
507,173.4,5/12/2020
508,3357.7,4/24/2020
509,1786.4,8/27/2020
510,4515.4,2/20/2021
511,1387.3,12/13/2019
512,2019.1,10/10/2019
513,480.1,1/18/2020
514,3185.6,4/25/2020
515,4196.6,3/4/2021
516,1156.9,2/12/2021
517,2937,9/1/2020
518,1848.6,5/7/2020
519,2436.6,9/20/2020
520,3285.5,6/12/2020
521,3400.4,11/25/2020
522,558.9,5/13/2020
523,2295.5,8/29/2020
524,17.1,3/12/2021
525,579.6,10/17/2020
526,3095.3,10/31/2020
527,2274.7,1/24/2020
528,4270.8,9/15/2020
529,1610.2,7/2/2019
530,3798.1,3/25/2020
531,1124.4,8/1/2020
532,2453.7,2/27/2021
533,2758,6/5/2020
534,2981.5,3/9/2021
535,4750.7,2/24/2020
,,
537,2423.5,11/10/2019
538,1796.4,12/5/2020
539,3779.1,10/1/2019
540,3243.5,7/29/2020
541,3727.7,8/5/2020
542,3576,7/24/2019
543,4752.2,8/4/2020
544,1999.6,7/21/2019
545,1132.1,8/3/2019
546,3610.4,7/29/2020
547,1310.6,5/8/2020
548,1147.5,7/25/2020
549,3800.7,12/18/2019
550,275.5,12/22/2020
,,
552,3533.5,7/13/2019
553,4268,5/5/2020
554,596,5/26/2020
555,3872.7,9/27/2020
556,901,8/21/2020
557,2304.3,1/7/2021
558,3951.4,7/23/2019
559,721.7,9/8/2019
560,1417.5,10/18/2019
561,4024.6,2/20/2021
562,4616.5,11/16/2019
563,2802,11/26/2020
564,772.2,1/28/2021
565,970.8,12/29/2020
566,667.4,1/20/2020
567,1479,3/8/2021
568,3075,6/26/2020
569,2469.2,2/14/2021
570,2191.4,3/25/2020
571,3109.2,3/23/2021
572,4505.7,7/29/2019
573,1019.1,9/10/2020
574,1495.1,4/5/2020
575,3379.5,8/31/2020
576,740.6,8/24/2019
577,2829,2/22/2020
578,2358.1,5/24/2020
579,1360.5,2/3/2020
580,1128.7,9/12/2020
581,1715.3,8/27/2020
582,4335.1,3/22/2021
583,4558.8,12/12/2019
584,277.3,1/28/2021
585,1135.6,6/13/2020
586,3822.9,10/26/2020
587,3729.1,12/5/2019
588,1244.6,11/10/2020
589,879.2,8/19/2020
590,2577,6/18/2020
591,729,8/12/2020
592,517.6,1/5/2021
593,3093.9,6/9/2020
594,2745.4,2/23/2020
595,4044.4,10/26/2020
596,3925.8,12/31/2019
597,444.2,7/17/2019
598,4719.1,7/13/2019
599,2240.5,3/14/2020
600,1151.3,7/8/2019
601,690,7/24/2019
602,1168.5,10/31/2019
603,2262.6,9/12/2019
604,916.8,12/11/2019
605,1743.3,12/18/2020
606,4487.2,1/3/2021
607,1455.7,3/23/2021
608,4422.4,10/28/2020
609,4276.7,6/27/2020
610,1785.8,6/25/2020
611,4178,10/9/2019
612,3286.2,1/25/2020
613,4733.2,5/1/2020
614,3309,7/26/2019
615,3461.5,9/12/2019
616,4237.2,1/12/2020
617,2315.7,1/15/2020
618,1248,12/26/2020
619,2410.4,2/10/2021
620,354.1,6/10/2020
621,550.4,1/23/2020
622,1637,7/28/2020
623,2192.7,12/1/2019
624,4447.2,3/22/2021
625,1781.6,8/28/2020
626,1869.7,8/3/2019
627,904.3,3/13/2021
628,4725.6,11/17/2020
629,4048,3/26/2020
630,1171.8,11/28/2020
631,3434.6,1/5/2020
632,4104.5,11/19/2019
633,1944.4,5/28/2020
634,3726.8,7/11/2020
635,61.8,4/30/2020
636,4725.3,11/12/2020
637,3952.4,6/19/2020
638,3902.1,6/19/2020
639,959.3,8/30/2020
640,3592.1,11/23/2020
641,4386.6,5/4/2020
642,4726.6,4/29/2020
643,2006.1,9/15/2020
644,2017.1,4/13/2020
645,12.5,2/9/2020
646,1608.8,2/10/2021
647,3867,10/16/2020
648,268.6,8/26/2020
649,3224.9,12/28/2019
650,2742.2,11/5/2020
651,3172.5,3/6/2020
652,1478.7,12/30/2019
653,3058.1,1/15/2020
654,2915.3,6/21/2020
655,484.5,9/23/2019
656,4340.2,4/22/2020
657,2206,8/31/2020
658,4123.6,11/8/2019
659,4476.8,2/2/2021
660,3845.8,8/30/2019
661,3173.6,12/12/2019
662,450.8,1/26/2020
663,2338.7,5/7/2020
664,2542.5,11/3/2020
665,4301.4,8/7/2019
666,362.3,10/27/2019
667,4506.9,10/31/2020
668,3521.1,11/25/2020
669,3169.9,11/8/2020
670,580.9,3/11/2020
671,4762.5,12/27/2019
672,2492.6,11/9/2020
673,4948.7,4/14/2020
674,2075.3,12/25/2019
675,3351.8,5/25/2020
676,2160.9,5/4/2020
677,4765.8,5/15/2020
678,4933.3,5/13/2020
679,398.9,4/6/2020
680,3451.8,10/12/2019
681,342.6,10/12/2019
682,1914.1,11/2/2019
683,2669.6,3/13/2021
684,372.6,3/3/2020
685,4233.8,11/7/2019
686,1390.6,8/5/2019
687,4056.7,5/27/2020
688,4093.9,12/23/2019
689,4088.3,2/1/2021
690,3318.5,9/25/2019
691,4772.8,1/13/2020
692,1649.3,2/21/2021
693,4102.7,2/26/2020
694,2959.4,8/25/2019
695,2589.7,12/3/2019
696,4463,9/21/2020
697,2472.2,7/14/2019
698,65.5,12/22/2019
699,3695.7,7/15/2019
700,2395.4,1/15/2020
701,705.2,10/21/2020
702,3732.3,3/10/2020
703,4686.2,8/4/2020
704,173.6,3/21/2020
705,3866.8,8/11/2020
706,1335.8,9/29/2019
707,3416,11/20/2019
708,4537.8,7/23/2020
709,495.5,5/22/2020
710,2184.3,9/1/2020
711,1523.8,10/2/2020
712,3943.3,10/3/2019
713,74.2,7/11/2019
714,4619.1,9/30/2019
715,4730.8,3/9/2021
716,3295.9,4/15/2020
717,4744.1,12/13/2020
718,1277.5,12/22/2019
719,888.4,11/18/2020
720,1600.6,6/25/2020
721,3264.3,8/30/2019
,,
723,227.9,3/13/2020
724,1777.7,6/5/2020
725,2862.7,10/11/2020
726,4105.8,12/7/2020
727,1348.9,10/21/2019
728,700,7/1/2019
,,
730,2171.7,9/23/2019
731,2602.2,10/7/2020
732,4815.1,5/19/2020
733,2032.9,6/18/2020
734,1399.9,12/6/2020
735,3778.9,8/16/2019
736,4857.3,9/10/2020
737,1834.7,7/25/2019
738,3626.2,7/15/2019
739,75.2,12/21/2020
740,3446.7,1/7/2021
741,2815,2/5/2021
742,105.8,10/25/2020
743,877.1,9/28/2019
744,1448,9/23/2020
745,2374.3,8/25/2020
746,3122.6,1/24/2021
747,965.7,9/23/2020
748,238.8,7/23/2020
749,2759,1/10/2020
750,1499.8,10/22/2020
751,2588.3,7/6/2019
752,2401.8,11/12/2020
753,4497,12/9/2019
754,3075.1,10/22/2020
755,917.6,5/28/2020
756,2266.1,2/26/2021
757,2795.6,11/26/2019
758,1529.8,10/23/2019
759,4122.3,8/24/2020
760,870.2,9/18/2019
761,2736.5,1/23/2020
762,1355.6,10/31/2020
763,2436.4,9/18/2019
764,1384,5/19/2020
765,3622.9,4/4/2020
766,1384,4/2/2020
767,1162.1,9/16/2019
768,2086.2,11/5/2019
769,4344.5,3/12/2021
770,1281.2,3/4/2021
771,1851.4,11/20/2019
772,4456.5,8/21/2020
773,3354.1,1/13/2021
774,3654.5,6/11/2020
775,1431.7,4/21/2020
776,4052.1,9/18/2019
777,4199,1/9/2020
778,3042.3,12/2/2019
779,3700.6,6/29/2020
780,4543.8,7/24/2019
781,4145.4,2/4/2020
782,3689.5,11/17/2019
783,3167.4,2/8/2020
784,4359,10/27/2020
785,2709.3,10/26/2020
786,248.7,1/10/2021
787,4815.3,11/15/2020
788,4225.2,12/4/2020
789,3989.4,9/15/2019
790,1141.7,10/17/2019
791,3442.6,4/3/2020
792,42.9,9/25/2019
793,2975.5,4/23/2020
794,4570,4/26/2020
795,4508.5,11/22/2020
796,4352.7,6/15/2020
797,4428.3,12/5/2020
798,2919.2,11/1/2020
799,1430.2,8/11/2019
800,341.9,11/2/2019
801,1588,1/12/2021
802,2226.7,3/2/2020
803,201.3,11/2/2019
804,1018.8,8/3/2019
805,4308.3,3/17/2021
806,3816,5/22/2020
807,3679.1,3/15/2020
808,3913.7,6/29/2020
809,4625.6,3/26/2020
810,847.1,12/3/2020
811,1005.8,9/22/2020
812,4359.3,1/21/2020
813,1566,3/21/2021
814,877.5,12/19/2020
815,2821.4,5/12/2020
816,4633.9,12/1/2020
817,634.8,11/6/2019
818,800.6,6/4/2020
819,4159.2,3/15/2021
820,3678.5,8/14/2020
821,2945.6,5/9/2020
822,3658.6,1/10/2020
823,1816.2,9/7/2020
824,2544.1,10/31/2020
,,
826,3745.7,7/5/2020
827,3774.7,11/26/2020
828,2871.3,12/22/2020
,,
830,3543.4,11/8/2020
831,4958.7,9/8/2020
832,990.9,1/25/2020
833,4272,11/1/2019
834,2549.9,2/11/2020
835,4178.6,4/16/2020
836,548.5,8/5/2020
837,712.3,7/6/2019
838,1084.3,5/21/2020
839,2541.4,6/27/2020
840,4785.5,1/16/2020
841,4230.4,9/22/2019
842,4118.8,6/11/2020
,,
,,
845,4477.5,9/5/2019
846,3511.2,8/7/2019
847,408.1,12/11/2019
848,1750.7,7/23/2020
849,470.2,5/3/2020
850,697.7,7/15/2020
851,530.8,12/12/2019
852,891.8,6/25/2020
853,1015.5,8/17/2020
854,346.3,12/14/2019
855,4855.3,12/31/2020
856,3587.5,10/24/2020
857,937.1,10/26/2020
858,1597.7,7/22/2020
859,4588.5,12/30/2020
860,2337.3,7/31/2020
861,2143.6,8/7/2019
862,4676.7,6/1/2020
863,2053.7,2/23/2021
864,4883.5,8/5/2020
865,208.7,8/3/2019
866,2357.8,3/17/2020
867,1818.3,9/2/2019
868,1018.7,12/26/2020
869,1607.7,8/21/2019
870,796.5,3/19/2021
871,4545,11/6/2019
872,3252,8/23/2020
873,624.6,2/19/2021
874,1505.1,7/2/2020
875,2086,4/4/2020
876,4626.6,9/25/2019
877,4928.2,11/22/2020
878,4569.3,3/11/2021
879,4043.9,10/4/2020
880,32.1,1/26/2021
881,435.6,8/2/2019
882,2088,3/28/2020
883,3350.7,3/12/2020
884,3037.9,1/6/2020
885,313.6,11/16/2019
886,2011,8/3/2020
887,1908.4,2/4/2020
888,2741.4,1/1/2021
889,3534.5,8/29/2019
890,330.8,1/23/2021
891,397,7/4/2019
892,1490.1,10/5/2019
893,429.2,7/24/2020
894,4490.6,8/30/2020
895,4813.5,1/12/2021
896,3076.9,11/14/2019
897,3467.2,1/30/2021
898,4893.5,9/16/2019
899,193,11/17/2020
900,3359.8,12/21/2019
901,3167,7/27/2019
902,2834.3,12/15/2019
903,3270.4,9/4/2019
904,2472.6,2/10/2020
905,4597.8,11/12/2019
906,1892.6,9/8/2019
907,3899.5,8/8/2019
908,3411.4,7/18/2020
909,1185.3,6/12/2020
910,856.6,6/28/2020
911,2486.4,3/16/2020
912,149,10/19/2019
913,3885,7/14/2019
914,1591.3,11/22/2020
915,3446.7,11/29/2019
916,2650.3,8/7/2019
917,2914.9,10/2/2019
918,479.5,9/6/2020
919,242.3,11/12/2019
920,1369.8,9/16/2020
921,462.8,2/8/2020
922,1041.7,7/13/2019
923,1601.3,11/28/2019
924,2408,5/10/2020
,,
926,4925.4,7/18/2020
927,3111.2,1/5/2021
928,2206.2,10/21/2019
929,1122.8,12/22/2020
930,1872.8,7/22/2019
931,193.3,3/23/2021
932,1472.5,11/25/2020
933,2558.5,3/12/2020
934,2922.2,11/3/2019
935,4250.6,1/18/2020
936,643.3,11/27/2020
937,2954,3/11/2021
,,
939,1609.1,3/10/2021
940,1366.2,3/14/2020
941,3267.3,12/5/2019
942,1533,10/8/2020
943,4196.2,3/6/2020
944,4414.9,3/15/2020
945,857.1,2/5/2021
946,1983,11/17/2020
947,2756.2,5/2/2020
948,4160.5,7/20/2020
949,4605.3,12/17/2020
950,2193.6,6/22/2020
951,1128.5,7/11/2019
952,1128.6,1/1/2021
953,1171.2,9/15/2019
954,1265.8,8/18/2019
955,273.1,12/23/2020
956,2592.2,9/3/2020
957,3994.5,3/17/2021
958,4689.2,10/3/2019
959,4295.2,10/23/2020
960,495.6,11/14/2019
961,2800.5,3/7/2020
962,2265.6,4/27/2020
963,24.8,6/21/2020
964,4644.4,3/22/2021
965,4280.3,1/20/2021
966,2002.2,7/12/2019
967,3066.7,9/11/2019
968,3518.4,7/23/2020
969,4068.6,12/27/2020
970,1065.3,2/20/2020
971,3890.2,3/11/2020
972,1209,1/2/2020
973,2915,5/25/2020
974,1565.2,10/11/2019
975,908.6,8/4/2019
976,3110.1,12/19/2019
977,3451.5,7/4/2020
978,4352.1,4/18/2020
979,1877.8,3/4/2020
980,2879.3,11/25/2020
,,
982,778.7,8/3/2019
983,4847.7,7/9/2019
984,1553.4,12/19/2019
985,4967,1/7/2020
986,2146.4,11/27/2019
987,4336.4,8/19/2019
988,1098.8,6/13/2020
989,3157.6,11/28/2019
990,2069.6,4/8/2020
991,1595,1/15/2021
992,4766.2,1/28/2021
993,1108.3,7/13/2020
994,4428.5,3/16/2021
995,364,9/13/2020
996,4098.7,7/2/2020
997,214.1,2/7/2020
998,1672.2,2/16/2020
999,4797.8,3/15/2021
1000,534.7,9/10/2019
